,Question,Answer
1044,How can one access the service and how much does it cost?,"
The service can be accessed from M-PESA App or by dialing *334# from their mobile phone and is free for all M-PESA customers.

"
1045,How can I access my M-PESA statements?,"
You can access your M-PESA statements via M-PESA App or USSD *334#.
M-PESA App
USSD *334#

Download and install M-PESA App from Play Store (Android) or App Store (iPhone)
Log into the App using the M-PESA PIN or biometrics.
On the Home Page, go to M-PESA Statements and tap See All
Select the Month to view.
Select Export Statements and set the dates to view.
Select Generate Statement to download the same on your phone.
"
1046,Can I change my e-mail address?,"
No. However, you can enter a new email address when you are requesting your M-PESA statement.

"
1047,For which periods can customers query their statements?,"
Customers will receive their M-PESA statements on demand for the:

Last 1 month
Last 3 months
Last 6 months
Last 12 months
Last 2 years
For a specific period
"
1048,What happens when I want my M-PESA statements which are older than 2 years?,"
You are required to visit your nearest Safaricom Shop.

"
1049,How long does Safaricom take to send my statement?,"
Customers will receive their statements within 5 minutes of making a successful request.

"
1050,I have an M-PESA statement that has a disclaimer indicating that it cannot be used in court. How can I get a statement that does not bear the disclaimer for I can use in court?,"
Please visit the nearest Safaricom shop and inform them that you would like an M-PESA statement for court purposes.
If the statement is required for a civil matter, then you must fill in the civil disputes statement request form indicating the purpose of use.
You will be provided with a form for which you will indicate your details and provide your ID. A request will be created for processing.
Note: Statements issued for this purpose will be restricted to civil cases and not criminal cases. (Criminal cases are cases that involve a police investigation and/or prosecution).
"
1051,How can I obtain an M-PESA statement for the funds available to a deceased relative’s M-PESA Account?,"
To receive a statement, visit your nearest Safaricom shop with the following documents:

Your original ID
A copy of the deceased’s death certificate (burial permits are not allowed)
An affidavit indicating your relationship with the deceased.
A letter from the local county administration/chief in the deceased’s area of residence .
Written request from the claimant (M-PESA Next of kin statement claim form)
"
1052,"How can I access funds from a deceased relative who has KSh 20,000 and KSh 50,000 in their two M-PESA accounts?","
For M-PESA accounts containing amounts more than KES 30,000 you will need to provide the following documents:
Note: Letters granted from this office must exempt Safaricom of any losses.
For M-PESA accounts containing amounts less than KES 30,000 you will need to provide the following documents:
Note: Letters from the Chief and Sub-chief must be accompanied with an Affidavit administered by a Commissioner for Oaths and sworn by the claimant.

Your original ID
An original copy of the deceased’s death certificate (burial permits are not allowed)
A Grant of Probate/ Grant of Letters of Administration intestate/ a letter from the public trustee.
"
1053,"In case of any inquiries, who do I contact?","
In case of any queries or more information,


Call 100 or 200.
Twitter: @Safaricom_Care and @SafaricomPLC
Facebook: @SafaricomPLC
Email: customercare@safaricom.co.ke
You can also visit any Safaricom Shop:
"
1054,What is Hakikisha Service?,"This is a service for all M-PESA customers that will enable them to confirm the name of the person they are transferring money to on M-PESA before completing the transaction. It also allows you to confirm the name of the agent when withdrawing money from your MPESA account * The service will also be available for Pay Bill (payment) and deposits for M-PESA agents.
"
1055,How do I opt into the service?,"Customers will automatically be opted into the service which is free. However, normal M-PESA charges apply as per the M-PESA tariff.
"
1056,Do I have to do a Menu Update to access the service?,"Customers will automatically be opted into the service and do not need to do a menu update.
"
1057,Will I be able to access the service outside Kenya?,"You will be able to use the service wherever you can roam. However, you will only be able to cash in / cash out your M-PESA balance at M-PESA Agent outlets in Kenya.
"
1058,"After a SIM swap, will my M-PESA line pick the service I had on a previous line?","The system will automatically enable the service as soon as you reactivate your M-PESA account using your current M-PESA PIN.
"
1059,How do I opt out of the service?,"Dial *234# to opt out. You will still be able to transact on M-PESA without confirming the name.
"
1060,Can other people confirm my name before sending money?,"Please note that other customers will also not be able to confirm your name when you opt out of the service.
"
1061,Will M-PESA transactions cancel if I press the cancel/dismiss/close on my phone?,"To stop any wrong transaction, send any letter or number within 25 seconds. Pressing cancel, dismiss or close will NOT stop the transaction.
"
1062,Will the service work on all handsets?,"The service will work on most handsets, however there may be a few phones that may have challenges accepting the service.
"
1063,What are the new tariffs about?,"As guided by the Central Bank of Kenya and taking into account the Principles on the Pricing of Mobile Money Services, we has taken the decision to reduce our M-PESA tariffs by up to 45% for lower value transaction bands. This is in consideration of the expiry of the period for the zero-rated M-PESA transactions and the ongoing Covid-19 and economic circumstances.
"
1064,"Why can't I transfer over Ksh35,000 to unregistered subscribers?","Due to Know Your Customer (KYC)/Anti Money Laundering (AML) policy set by the Central Bank of Kenya, we do not have the mandate to allow transfers of amounts over Ksh35,000.
"
1065,"With the changes in tariffs, have you increased the amounts one can send?","Yes, the maximum amount one can send in a day, is now Ksh300,000. You can send up to Ksh150,000 in one transaction. You can only hold up to Ksh300,000 in your M-PESA account.
"
1066,What is the lowest amount of money I can send on M-PESA?,"You can now send as little as Ksh.1 on M-PESA for free. You can also make both payments via buy goods and paybill for up to Kshs.100 for free.
"
1067,How much will it cost me to send Ksh10?,"It is free to send any amount between Ksh.1 to Kshs.100 to a registered customer.
"
1068,How much will I be charged to send 1000 shillings?,"It will now cost KES 12 to send between KES 501 and KES 1000, down from KES 15.
"
1069,How much does it cost to withdraw Ksh50?,"It will now cost you Ksh10 to withdraw between Ksh50 and Ksh100.
"
1070,How much will it cost me to withdraw Ksh100?,"The cost of withdrawing is Ksh 10 for registered M-PESA customers.
"
1071,Can I still withdraw at an ATM?,"Yes you can. You are allowed to make multiple cash withdrawals from the ATM. However the maximum withdrawal amount is limited to Ksh20,000 per day. Withdrawals vary from Kes 200-Kes 20,000 depending on the ATM.
"
1072,How do I know what else has changed with the tariffs?,"Visit your agent outlet for more details on the tariffs. You can also visit our website https://www.safaricom.co.ke/personal/m-pesa/getting-started/m-pesa-rates or call M-PESA customer care on 234.
"
1073,When will the new tariffs take effect?,"The price cuts are permanent, effective 1st January 2021.
"
1074,How is the new commission structure?,"We have rationalized and adjusted withdrawal commissions for agents in line with tariff changes on customer withdrawal charges.
"
1075,What is VoLTE?,"
Voice over LTE (VoLTE) is an advanced technology that delivers high-quality life-like sound over voice and video calls across the 4G network.

"
1076,Why should I be on VoLTE?,"

Customers on VoLTE will Enjoy HD(High definition) calls and video calls that will be ultra clear with reduced background noise.
In addition the calls can be enhanced if both parties are on VoLTE capable devices and located in a 4G location as they can switch to video call seamlessly within call.
Consumers will have a more enriched conversation, i.e. they can now make calls whilst browsing.
Customers on VoLTE will also enjoy fast call set up.
"
1077,What do I need to do to enjoy VoLTE Service?,"

Have a VoLTE enabled handset (check if your handset is VoLTE enabled from www.safaricom.co.ke/VoLTE
Ensure that your handset has been upgraded with the latest software provided by your handset manufacturer by checking under settings -> Software update
Ensure that you are using a 4G SIM and you’re calling on 4G network.
Verify that the VoLTE voice calling feature has been enabled on your smartphone.
"
1078,How will I know if I am on VoLTE Service?,"
For Android users: The “HD/VoLTE” icon will be shown on the top bar of the screen.

"
1079,Can I use VoLTE with any other network in the US?,"
Currently, we’ve launched VoLTE service with AT&T network only. This was done on 8th Dec 2022.

"
1080,Will I be able to use roaming if I don’t activate VoLTE?,"
Yes you will, however for AT&T, they are not available on 2G & 3G.

"
1081,Do I need a special subscription to use VoLTE service,"
No, your current roaming plan will support AT&T VoLTE service.

"
1082,How much does VoLTE Service cost?,"
There are No additional charges on VoLTE, customer will call using airtime or minutes and normal charges will apply.

"
1083,Do I need to have data bundles to make video calls on VoLTE?,"
Customers can make video calls on VoLTE without data resources. The video call will be charged as a normal call from the customers` account.

"
1084,My friend does not have a phone that supports VoLTE. Can I still make calls to him/her using VoLTE?,"
Yes, you can make VoLTE calls to any phone on any other network just like the voice normal calls.

"
1085,How do I confirm roaming rates?,"
You can check the applicable roaming rates from Safaricom Roaming.

"
1086,Do you have VoLTE with any other network in US?,"
No, we currently have launched the service with AT&T only.

"
1087,What is Easy Talk Bundle?,"
This is a new voice and SMS bundle plan that allow you a worry-free experience on Calls & SMS.

"
1088,Who is Eligible?,"
The Easy talk Monthly Bundles are available to all Safaricom customers (prepaid, postpaid and hybrid)..

"
1089,How do I purchase Easy Talk Bundle?,"
•Dial *444# select option Easy Talk Monthly which will display available plans for you  •Dial *544# select option Calls & SMS – Easy Talk Monthly which will display available plans for you

"
1090,What is the validity of the Bundle?,"
Bundles are valid for 30 days,7days,2days & Midnight as indicated at the point of purchase.

"
1091,Will purchase of another bundle extend Validity?,"
No. The minutes and SMS resources will not rollover

"
1092,Can I opt subscribe multiple times?,"
Yes, you can purchase the bundle as many times as you wish.

"
1093,How do I check my balance?,"
Balance check on USSD *444#, *544*44# and send SMS to144 to show the balance of all the resources remaining (Minutes and SMS)

"
1094,Will I be able to Sambaza the bundle?,"
No, you cannot Transfer Easy talk Bundle.

"
1095,Can I purchase Easy Talk Bundle for another number?,"
Yes, you can purchase for another number by dialing *444# Easy Talk Monthly and select the option for buy for another number.

"
1096,Can I earn bonga when I Subscribe to Easy Talk Bundle?,"
Yes, you will earn Bonga when you subscribe to the bundle according to the bonga terms and condition.

"
1097,Can I achieve Storo when I Subscribe to Easy Talk Bundle?,"
Yes. Once you purchase a bundle, you will accumulate Storo bonus points. Applies only to Pre-pay customers who have subscribed into the service.

"
1098,Can I buy other Minutes & airtime bundles when Subscribed to the bundle?,"
Yes, you can buy other bundles.

"
1099,Can I use the minutes to call across networks?,"
Yes, the resources (Minutes and SMS) can be used across networks

"
1100,What is Daily 20 Mins +20Mbs for Kes 20 Promotion”?,"This is part of the Safaricom@20 birthday celebration offer that will allow our customers to be able to purchase 20Mins +20Mbs for Kes 20 on *444*20# once a day.  Please note the offer will still be available on *444*20#
"
1101,Who can participate in the promotion?,"The promotion is open to all Safaricom PrePay, Hybrid and PostPay customers
"
1102,How long will the promotion run?,"The daily 20Mins + 20Mbs for ksh 20/- The promotion will run for 30 days starting 27th Oct 2020
"
1103,What is the order of priority for the usage once you purchase the bundle?,"The bundle will take the highest priority in terms of usage however for minutes, if the customer has any hourly bundles (minutes with less than 24hrs validity) these will take preference
"
1104,What is the validity of the bundle purchased?,"The bundle purchased will be valid up to midnight
"
1105,Can you sambaza the discounted minutes and data bundles to another number?,"No. The resources will not be transferrable
"
1106,"Can I purchase the minutes via MPESA, Bonga or Okoa Jahazi?","Yes. The customer will be prompted on the payment option before purchase.
"
1107,Will I earn storo bonus once I purchase the bundle?,"No. you will not earn Storo bonus on this offer.
"
1108,Will I earn bonga points once I purchase the bundle?,"Yes. Only the airtime used to purchase the offer will earn you bonga points.
"
1109,Can I purchase the 20mins +20Mbs @20kes for another number?,"You will not be allowed to purchase the minutes for another number.
"
1110,Can I extend the validity of the resources incase I don’t consume all in 24hrs?,"No. the resources will expire and will not be extended on purchase of a new bundle.
"
1111,Can I make international calls or roam with the discounted minutes?,"The discounted minutes will not be used for Roaming Services (Calls, SMS, Data) or International Services (Calls, SMS)
"
1112,Will I be required to subscribe to the Free 20Mbs if I am turning 20years old in Safaricom on 23rd?,"No. Safaricom will select the customers and automatically award the customers.
"
1113,Will I earn storo bonus and get bongs once I get the bundle?,"No. you will not earn Storo bonus and earn bonga on this offer.
"
1114,Can I transfer some of the Mbs?,"No. sambaza will not be possible for the Free 20Mbs
"
1115,Can I extend the validity of the minutes after midnight expiry by purchasing another offer?,"By dialling *444*20# customers will be able to view the segmented offers each will view the offer applicable to them based on usage
"
1116,Can I make international calls or roam with the minutes purchased on the segmented offer?,"No. the resources will expire and will not be extended on purchase of a new bundle.
"
1117,Can I check balance of the minutes I have?,"Can I make international calls or roam with the minutes purchased on the segmented offer?
"
1118,How will the 1st free call of the day work?,"Yes. By dialing *444# and selecting balance.
"
1119,How will I know when I am eligible to make the first free call of the day?,"Each customer will have an opportunity to enjoy FREE first call of the day on a certain day within the promo period. customers will be spread over the promo period into cohorts of one (1) million customers daily
"
1120,Will I need to subscribe to the offer?,"Eligible subscribers will receive a message from Safaricom a day before the offer is made
"
1121,Can I make the call for however long I want?,"No. you do not need to subscribe for the first call of the day; it will be automatically awarded on the day it is offered.
"
1122,Can I make the call to off-net numbers?,"This offer is available once to each subscriber and is subject to the Fair Usage Policy (FUP) of 20 minutes.
"
1123,Will be call be open to roaming & international calls?,"Yes. The call will be open to on-net & of net calls
"
1124,How will reverse calls be treated? Who will enjoy the first free call of the day?,"No. International & roaming calls will not be included
"
1125,Will volte calls apply?,"Reverse calling will apply but the free first call of the day will be awarded to the receiver (the call sponsor) of the call.
"
1126,What happens if a call drops and it had already been picked by the receiver?,"Yes. Volte calls will also apply for first call of the day
"
1127,Will the call drop is I exceed the 20 minutes allocated?,"If the receiver drops the call accidentally, the repeated call will be charged
"
1128,How long will the SMS Promotion run?,"The promotion will run for 90 days.
"
1129,How do I participate in the Promotion?,"A customer must buy any SMS bundle to win. The SMS bundles are accessible via *444*8#
"
1130,How will the winners be selected?,"The winners will be selected randomly.
"
1131,What kind of prizes can be won?,
1132,How will the Airtime and SMS prizes be awarded?,"Winnings are awarded immediately
"
1133,Can I sambaza the airtime or SMS Bundles?,"The airtime won is not transferable
"
1134,Can I pay for Okoa jahazi using the airtime prize?,"Airtime awarded cannot be used to pay for ETU
"
1135,How do I use the airtime?,"Airtime awarded cannot be used for international calls but can call all other local networks
Airtime awarded cannot be used to buy a data bundle but can be used for OOB browsing.
"
1136,About the Service?,"
This Service aims at giving our Prepay, PostPay & Hybrid Subscribers, the opportunity to choose a personalized combination of offers ranging from data, sms, voice and Talktime.

"
1137,How to Purchase the Offer?,"
To purchase the offers, Dial *444# every day and select your preferred option. You can access and purchase the available personalized offer every day.

"
1138,Why does my offer keep changing?,"
Tunukiwa is personalized and dynamic. Every day of the week, each customer will get new and different offers.

"
1139,Do I earn Bonga points when I use Tunukiwa?,"
Yes. Tunukiwa earns you Bonga points whenever you purchase a Tunukiwa offer.

"
1140,Does Tunukiwa contribute to Stori-Ibambe target achievement?,"
Tunukiwa is a discounted offer and will not be considered in the achievement of the Stori Ibambe target

"
1141,Offers Validity,"
The validity of the offer is specified at the time of purchase. Validities will range from less than 24 hours, 24hours, 48 hours and 7 days.

"
1142,How Frequent can I purchase?,"
You can purchase multiple options at any given time throughout the day.

"
1143,Offer Balance,"
The offer balance cannot be transferred. To check your offer balance, dial *444# then select Balance.

"
1144,Why do some offers keep disappearing?,"
Tunukiwa is personalized and dynamic. Every day the system refreshes new offers for customers. Some offers are also time bound and once the offer period lapses, the offers automatically expire and can no longer be served to customers.

"
1145,Can I buy an offer with Bonga points ?,"
Yes, you can buy Tunukiwa offers with any of the following payment options; Airtime (including Okoa balance), M-PESA and Bonga points.

"
1146,What is a “Bonga-Only” Offers?,"
These are offers which can only be purchased using Bonga Points. These offers will be presented to the customer from time to time and will be have the Bonga conversion rate in the offer name at the time of purchase.

"
1147,What will be the conversion rate for buying Tunukiwa Offers with Bonga?,"
Conversation rate when buying normal Tunukiwa offers using Bonga points will be the normal rate of 1 point = 30 cents. This will be displayed to the customer at the time of purchase..

"
1148,Do I earn Bonga points when I Buy an Offer with Bonga Points?,"
No. Since “Buy with Bonga” is a Bonga redemption process, it will not earn Bonga points for the customer. However purchase of offers via Airtime or M-PESA will earns you Bonga points whenever you purchase a Tunukiwa offer using the two payment options.

"
1149,Available Options,"

Talk time bundles option
Minutes bundles option
Data bundles option
SMS bundle option
Bonga only option
"
1150,More Information,"
For more information, please visit the Safaricom website

"
1151,Retirement of Platinum Service,"In October 2019, when we renewed our commitment to be Simple, Transparent and Honest with our customers, we also tasked ourselves to review our products and services to harmonize customer experience and ensure that our customers were getting the best value. As part of the review process, our loyal Platinum customers will be upgraded to the All-In-One plan or the new Karibu PostPay plans with non-expiry resources, which offer more voice and data. The notification that was sent to all our Platinum customers was to inform them that Platinum Plans will no longer be available effective August 30th 2020
"
1152,Why are you expiring Platinum Plans?,"TIn line with the new brand promise of being Simple, Transparent and Honest with our customers, we tasked ourselves to review our products and services to harmonize customer experience and ensure that our customers were getting the best value.  As part of the review process, our loyal Platinum customers will be upgraded to the All-In-One plan or the new Karibu PostPay plan with non-expiry resources, which offer more voice and data..
"
1153,What do I need to do to move to the new plans?,"For customers on Platinum PostPay, on 1st September 2020, we will migrate you to the No-Expiry PostPay plans. There will be no further action from our customer.
For our Platinum PrePay customers on auto-renew, they will also be migrated automatically to All in One auto-renew plans.  For our customers who purchase the Platinum product one off, they can select, the All-In-One plans, on MySafaricom App or by dialling *544# and selecting option 3 “Normal Data Bundle WITH EXPIRY” then option 1 “All in One Bundle.”
All customers have the opportunity to select any other Safaricom service according to their needs.
"
1154,Does it mean I have to move back to PrePay if am currently on PostPay?,"No, you do not have to move to Prepay. You will be migrated to the new No-Expiry PostPay bundles and your account shall be moved to the new bundles effective the next bill cycle.
"
1155,Will I lose my previous resources?,"TYou shall use your platinum resources until their expiry date. At the end of month the plans will not auto renew. The new No -Expiry PostPay bundles will then take effect.
"
1156,Will new customers be able to join Platinum on the APP before 30th August 2020?,"No, New customer will not be able to join Platinum as the Plans will no longer be available after August 30th, 2020.
"
1157,What alternative options are available for me as a Platinum PostPay customer?,"We have new exciting bundles that offer more value and non-expiry. Refer to the table below:
FOR CUSTOMERS CURRENTLY ON PLATINUM POSTPAY PLANS, REFER TO THIS TABLE:

CURRENT PLAN
NEW PLAN
BUNDLE NAME
PLATINUM BUNDLE
POSTPAY PLAN OF SIMILAR AMOUNT
PLATINUM 1K
200mins+5GB+2000SMS
POSTPAY 1K
400Min+5GB+1000SMS
PLATINUM 2K
600mins+15GB+4000SMS
POSTPAY 2K
1000Min+15GB+2000SMS
PLATINUM 3K
1000mins+25GB+6000SMS
POSTPAY 3K
1500Min+25GB+3000SMS
PLATINUM 5K
1500mins+50GB+10000SMS
POSTPAY 5K
2500Min+50GB+5000SMS
PLATINUM 10K
2000Mins+100GB+20000SMS
POSTPAY 10K
10000Min+100GB+10000SMS
"
1158,What alternative options are available for me as a Platinum PrePay customer?,"We have new exciting bundles that offer more value and non-expiry. Refer to the table below
FOR CUSTOMERS CURRENTLY ON PLATINUM PREPAY PLANS, REFER TO THIS TABLE:

CURRENT PLAN
NEW PLAN
BUNDLE NAME
PLATINUM BUNDLE OFFER
PROPOSED ALL IN ONE {DATA HEAVY}
PLATINUM 1K
100mins+2GB+2000SMS
ALL IN ONE 1K
200Min+4GB+1000SMS
PLATINUM 2K
400mins+12GB+4000SMS
ALL IN ONE 2K
600Min+12GB+2000SMS
PLATINUM 3K
600mins+20GB+6000SMS
ALL IN ONE 3K
900Min+20GB+3000SMS
PLATINUM 5K
1000mins+35GB+10000SMS
ALL IN ONE 5K
1500Min+35GB+5000SMS
PLATINUM 10K
1500Mins + 40GB Data +20000SMS
ALL IN ONE 10K
3500+50GB+10000SMS
"
1159,How can I access the new plans?,"The new plans can be accessed on the App, Web and *200#.
For PostPay customers select the option change my plan and for Prepay *544# Select option Normal bundles with expiry then select option 1 for All in one bundles.
"
1160,What happens to me on Karibu 1000 and 2500?,"Customer on Karibu 1000 and 2500 will continue to enjoy their bundle offer. You will also be able to convert your minutes to data should you require more data bundles.
"
1161,What are the benefits for the New PostPay No Expiry Plans?,"Easy sign up on APP, Web and USDD *544# Select Join PostPay
You will receive more value on Data bundles and minutes
Simple way to increase and reduce your limit
A simple way to change plans if you want to upgrade or downgrade
A simple way to exit should you want to terminate the plan
The minutes can be used for local and international calling to China, Canada, USA and India
The bundle does not have an expiry date.
"
1162,Who is eligible for the New No Expiry PostPay Plans?,"PostPay is open to all Safaricom PrePay customers with the exception of corporate accounts.
"
1163,How can I sign up for the New No Expiry PostPay Plans?,"On mySafaricomAPP or the Safaricom website

On USSD *544#?
On the mySafaricom app select the icon PostPay or the banner
You will be presented with a pre-defined credit limit. Customers with no credit limit will be prompted to enter their preferred limit and make payment via MPESA.
You will be prompted to enter your email address for billing purposes.
Select a PostPay bundle plan.
Accept terms and conditions.
You will receive a notification that your line has been moved to PostPay.
"
1164,Can I purchase a bundle with my credit limit?,"Yes, you can use your credit limit to buy a plan.
"
1165,Will I accumulate Storo bonus upon purchase of PostPay Bundles?,"No. Once on PostPay you will not accumulate Storo Bonus.
"
1166,What can I use this bundle for??,"You can use the bundles to make calls from Safaricom to Safaricom and Safaricom to other networks and SMS to Safaricom Subscribers and other networks. You can also surf the internet with data. The minutes can also be used for international calling to India, China, USA and Canada
"
1167,Can I buy the bundle more than once in a month?,"No. You can only buy once. You cannot have multiple subscriptions.
"
1168,What happens when I exhaust my bundle in the middle of the month?,"You will be charged an out of bundle rate of Kshs. 2.30 for calls and Kshs. 1.30 for data. This is only applicable once the bundles run out, you can also purchase other bundles with expiry or non-expiry on *544#.
If you have already hit your credit limit, you will have to make a payment via MPESA to your account and then proceed to buy a different bundle of your choice. You can also use out of bundle at your preferred PostPay rate
"
1169,Will the bundle auto renew?,"Yes, the bundle will auto renew every 1st of the month.
"
1170,Can I use the bundle for international calls?,"Yes, you can use it for international calling to USA, Canada, China and India.
"
1171,Can I use my bundle for chargeable messages?,"No, you will not be able to use the bundled SMS to access chargeable messages
"
1172,Can I use my bundle for Skiza or bank USSD?,"No, the bundle cannot be used for Skiza or bank USSD you need to make a prepayment or increase your limit to cover for these charges
"
1173,Will I earn Bonga points if i purchase PostPay Bundles?,"Yes, you will earn Bonga points when you purchase the plans.
"
1174,Can I “Sambaza” or transfer resources (bundles and minutes)?,"No, you cannot transfer/Sambaza your resources.
"
1175,What is the priority in usage?,"Priority will be for resources (bundles and minutes) that expire.
"
1176,What happens if I have activated Data Manager and I join PostPay?,"Data Manager Service will remain active after joining PostPay
"
1177,How do I stop auto-renewal??,"To stop auto renew simply dial *544# and select stop auto renew. You will no longer be able to enjoy the preferential PostPay out of bundle rates. Once the bundle runs out normal data and voice rates will apply.
"
1178,Who is eligible for the Voice Plan?,"The voice plan is available to all prepay, individual post-pay & hybrid subscribers.
"
1179,What will I use the voice plan for?,"The Voice plan will be used for both on-net and off-net calls.
"
1180,How will a customer purchase the voice plan?,"The voice plan will be available once your purchase your talk time on *544# via airtime or M-PESA.
"
1181,How will I check my voice plan balance?,"Balance check will be available on USSD *544#, *544*44# and 144 for prepay.
"
1182,What is the validity of the voice plan purchased?,"The voice plan will not expire
"
1183,Can you Sambaza the voice plan purchased?,"Subscribers cannot transfer/ Sambaza their voice plan
"
1184,Can the voice plan be used for browsing?,"The voice plan cannot be used to access the internet.
"
1185,Will I earn bonga points once I purchase the voice plan?,"Yes. Customers will earn bonga points when they purchase the voice plan.
"
1186,Can I purchase the voice plan for another number?,"Yes. Customers should be able to purchase the voice plan for self and other numbers
"
1187,Can I make international calls with the voice plan?,"Customers cannot use the voice plan to make international calls.
"
1188,What is Safaricom Platinum?,"
Safaricom Platinum is a life-style driven monthly service that gives customers a worry free mobile plan, platinum service and bill manger all accessible from mySafaricom app Safaricom Platinum Plans are value-for-money mobile packages that allow you to enjoy affordable and convenient plans by giving you integrated data, voice and SMS packages.

"
1189,Who is eligible for Safaricom Platinum?,"
Safaricom Platinum will be available to all individual Safaricom PrePay, PostPay and Hybrid subscribers.

"
1190,What are the available purchase options for Safaricom Platinum?,"
i. “Platinum” Plans
a. These are one off plans available for Prepay subs only b. The plans will have a 30 day validity. c. Payment options available will be via Airtime, M-PESA or Bonga points. d. For Bonga the below matrix will be used;
ii. “Platinum Plus” plans
a. These plans are available for PostPay, hybrid and PrePay subs who opt to migrate to Platinum Plus. b. The plans will be auto renewing beginning of every month. c. First month of subscription, customers will receive prorated resources depending on the date of purchase but will later on receive full resources 1st of every month. d. Bill payment will be via;
i. “Platinum” Plans
a. These are one off plans available for Prepay subs only b. The plans will have a 30 day validity. c. Payment options available will be via Airtime, M-PESA or Bonga points. d. For Bonga the below matrix will be used;
ii. “Platinum Plus” plans
a. These plans are available for PostPay, hybrid and PrePay subs who opt to migrate to Platinum Plus. b. The plans will be auto renewing beginning of every month. c. First month of subscription, customers will receive prorated resources depending on the date of purchase but will later on receive full resources 1st of every month. d. Bill payment will be via;

International Minutes for 5k and 10K Plans; China , USA, India & Canada
In addition to the resources available under the service, subscribers will have access to incentivized services from Shell Petrol Stations countrywide, Eatout.com and Ticketsasa
Subscribers to the Platinum 10K Plan will have access once a year to business class lounges in major airports worldwide
Platinum Plan 1k will be available for select subs only
"
1191,How can I move my PrePay line to Platinum Plus?,"
a. Prepay Subscriber will be required to select “Move to Platinum Plus” option on mySafaricom app b. Payment will be via M-PESA and customer will be required to pay for the plan and make a deposit similar to the plan selected. c. Customers will be required to share their Email address (where they will be receiving their monthly bill statements); and  d. Subscribers will be required to accept to Terms and condition before successful plan payment via M-PESA e. They will then wait for an SMS confirmation after successfully migrating their numbers to PostPay Platinum Plus. Note: They will receive the below message:  Dear customer, your request for Platinum X K is being processed. You will receive a confirmation SMS within 1 Hour

"
1192,What happens if I move to Platinum Plus?,"
A PrePay subscriber that chooses to “move to Platinum Plus” will become a hybrid subscriber

"
1193,A PrePay subscriber that chooses to “move to Platinum Plus” will become a hybrid subscriberIn case of a reversal will the cash back amount also be reversed?,"
On full utilisation of the bundle resources before thirty (30) days, Prepay subscribers can top up and purchase another platinum plan.  PostPay subscribers will be prompted to unsubscribe from the existing plan after which they will be allowed to purchase another Platinum Plus plan

"
1194,What payment options are available for PostPay/ hybrid customers?,"
Individual PostPay and hybrid subs will make payment via credit limit.

"
1195,Can I purchase Platinum Plus plan that is higher than my PostPay limit?,"
Customers who wish to buy plans higher than their limit will be prompted to increase their credit limit via M-PESA before purchasing their preferred plans.

"
1196,How can I opt out of the platinum plan plus?,"
i. Prepay customers who migrate to Platinum Plus and wish to terminate the Platinum service will be required to visit any Safaricom retail shop ii. PostPay and PostPay hybrid customers who subscribed to Platinum Plus and wish to opt out can select the “Stop Auto renew” option from mySafaricom app.

"
1197,How can I access the incentivized services from Shell Petrol station?,"
Individual PostPay and hybrid subs will make payment via credit limit.

"
1198,How can I access the incentivized services from Eat out?,"

Go to mySafaricom app and click on the “Hot Deals” tab and select Shell Offers.
Select your preferred oil type from the list showcased.
Select the quantity desired and it will automatically pick the price.
Key in the till number of the shell petrol station and proceed to buy.
Proceed to confirm on your choice of purchase
Select payment method i.e. M-PESA
Proceed to pay and key in your M-PESA PIN.
You will receive a notification on successful purchase.
You are thereafter entitled to a minor service of your car. The service covers oil change, plug change and filters change. The attendant will serve you accordingly upon request.
The validity of the minor service is on the day of purchase of the lubricants
"
1199,How can I access the incentivized services through Ticketsasa?,"

Go to mySafaricom app and click on the “Hot Deals” tab and select Dining Offers.
Select your choice of dining restaurant from the list of restaurants showcased.
Tap on the button that displays the discount to select the offer.
It is advisable to proceed & confirm on your discount offer once at the restaurant by presenting this to the waiter serving you.
The restaurant will receive a notification on their end with the details of the discount redeemed.
The bill will thereafter be revised to reflect the new discounted price which will be presented for your payment.
You may pay the bill using cash, M-PESA, credit or debit as per Restaurant policies.
"
1200,What is Bill manager?,"

Go mySafaricom app and click on the “Hot Deals” tab and select Events and Travel.
Select your choice of interest on either events, holidays or flights
Payment options are available on the app. Ticket confirmations will be sent to you on email.
"
1201,What is the validity of the Platinum Plans?,"

Platinum customers will enjoy bill manager on the App allowing them to save and pay bills all in one transaction.
Customers will no longer need to memorize till or Paybill numbers when making payment as bill manager will keep tab of this
Bill manager will also remind Platinum customers of their bill payment due dates
"
1202,Can I extend validity of my resources if I purchase another platinum plan before expiry of the current plan?,"
The Platinum Plans are valid for 30 days from purchase / subscription date after which they will expire

"
1203,Can the Platinum Plans be used for International calls and SMS?,"
Customers will not be able to roll over / extend expiry of the resources. The bundled resources will be valid for 30 days after which any unused resource will expire.

"
1204,Can I use the Platinum Plans to roam?,"
i. Resources received after purchasing Platinum Plans Ksh 2K and Ksh 3K will be used for data, local calls and SMS (on net and off net) ii. Resources received after purchasing Platinum Plans Ksh 5K and Ksh 10K will be used for data, local calls & SMS (on net and off net) as well as International calls to USA, Canada, China & India iii. The Platinum Plans will not be used to make international SMS

"
1205,Can I use Platinum Plans for premium rate services?,"
Platinum Plans will not be used while roaming, however customers can top up their lines or buy Roaming bundles.

"
